Format,Example,Regex
YYYY-MM-DD,1976-09-23,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)$
YYYY-MM-DD hh:mm:ss.sss,1976-09-23 11:11:11.888,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)$
YYYY-MM-DDThh:mm:ss.sss,1976-09-23T11:11:11.888,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)$
YYYY-MM-DD hh:mm:ss.sssZ,1976-09-23 11:11:11.888Z,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)Z$
YYYY-MM-DDThh:mm:ss.sssZ,1976-09-23T11:11:11.888Z,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)Z$
YYYY-MM-DD hh:mm:ss.sss+hh:mm,1976-09-23 11:11:11.888+07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DDThh:mm:ss.sss+hh:mm,1976-09-23T11:11:11.888+07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DD hh:mm:ss.sss+hhmm,1976-09-23 11:11:11.888+0730,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4])([0-5]\d)$
YYYY-MM-DDThh:mm:ss.sss+hhmm,1976-09-23T11:11:11.888+0730,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4])([0-5]\d)$
YYYY-MM-DD hh:mm:ss.sss+hh,1976-09-23 11:11:11.888+07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4])$
YYYY-MM-DDThh:mm:ss.sss+hh,1976-09-23T11:11:11.888+07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4])$
YYYY-MM-DD hh:mm:ss.sss-hh:mm,1976-09-23 11:11:11.888-07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DDThh:mm:ss.sss-hh:mm,1976-09-23T11:11:11.888-07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DD hh:mm:ss.sss-hhmm,1976-09-23 11:11:11.888-0730,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4])([0-5]\d)$
YYYY-MM-DDThh:mm:ss.sss-hhmm,1976-09-23T11:11:11.888-0730,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4])([0-5]\d)$
YYYY-MM-DD hh:mm:ss.sss-hh,1976-09-23 11:11:11.888-07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4])$
YYYY-MM-DDThh:mm:ss.sss-hh,1976-09-23T11:11:11.888-07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4])$
YYYY-MM-DD hhmmss.sss,1976-09-23 111111.888,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)$
YYYY-MM-DDThhmmss.sss,1976-09-23T111111.888,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)$
YYYY-MM-DD hhmmss.sssZ,1976-09-23 111111.888Z,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)Z$
